Team_1,Team_2,Winner,Margin,Ground,Match Date,Bat first,Pitch Advantage,Home Advantage
Pakistan,West Indies,West Indies,6 wickets,Sharjah,"Nov 5, 1993",Pakistan,Batting,United Arab Emirates (UAE)
India,Sri Lanka,India,7 wickets,Kanpur,"Nov 7, 1993",Sri Lanka,Balanced,India
Sri Lanka,West Indies,West Indies,46 runs,Wankhede,"Nov 9, 1993",West Indies,Balanced,India
South Africa,Zimbabwe,0,-,Bengaluru,"Nov 10, 1993",Zimbabwe,Balanced,India
South Africa,West Indies,South Africa,41 runs,Brabourne,"Nov 14, 1993",South Africa,Balanced,India
Sri Lanka,Zimbabwe,Sri Lanka,55 runs,Patna,"Nov 15, 1993",Sri Lanka,Balanced,India
India,West Indies,West Indies,69 runs,Ahmedabad,"Nov 16, 1993",West Indies,Balanced,India
India,Zimbabwe,0,-,Indore,"Nov 18, 1993",Zimbabwe,Balanced,India
South Africa,Sri Lanka,South Africa,78 runs,Guwahati,"Nov 19, 1993",South Africa,Bowling,India
West Indies,Zimbabwe,West Indies,134 runs,Hyderabad (Deccan),"Nov 21, 1993",West Indies,Balanced,India
India,South Africa,India,43 runs,Mohali,"Nov 22, 1993",India,Batting,India
India,South Africa,India,2 runs,Eden Gardens,"Nov 24, 1993",India,Balanced,India
Sri Lanka,West Indies,West Indies,7 wickets,Eden Gardens,"Nov 25, 1993",Sri Lanka,Balanced,India
India,West Indies,India,102 runs,Eden Gardens,"Nov 27, 1993",India,Balanced,India
Sri Lanka,West Indies,0,-,Colombo (PSS),"Dec 1, 1993",West Indies,Balanced,Sri Lanka
Australia,South Africa,South Africa,7 wickets,Melbourne,"Dec 9, 1993",Australia,Balanced,Australia
Australia,New Zealand,Australia,8 wickets,Adelaide,"Dec 12, 1993",New Zealand,Balanced,Australia
Australia,South Africa,Australia,103 runs,Sydney,"Dec 14, 1993",Australia,Balanced,Australia
Australia,New Zealand,Australia,3 runs,Melbourne,"Dec 16, 1993",Australia,Balanced,Australia
Sri Lanka,West Indies,Sri Lanka,3 wickets,Colombo (RPS),"Dec 16, 1993",West Indies,Batting,Sri Lanka
New Zealand,South Africa,New Zealand,4 wickets,Hobart,"Dec 18, 1993",South Africa,Balanced,Australia
Sri Lanka,West Indies,West Indies,6 wickets,Colombo (SSC),"Dec 18, 1993",Sri Lanka,Balanced,Sri Lanka
Pakistan,Zimbabwe,Pakistan,7 wickets,Karachi,"Dec 24, 1993",Zimbabwe,Batting,Pakistan
Pakistan,Zimbabwe,Pakistan,6 wickets,Rawalpindi,"Dec 25, 1993",Zimbabwe,Balanced,Pakistan
Pakistan,Zimbabwe,Pakistan,75 runs,Lahore,"Dec 27, 1993",Pakistan,Balanced,Pakistan
New Zealand,South Africa,New Zealand,9 runs,Brisbane,"Jan 8, 1994",New Zealand,Batting,Australia
Australia,South Africa,Australia,48 runs,Brisbane,"Jan 9, 1994",Australia,Batting,Australia
Australia,New Zealand,New Zealand,13 runs,Sydney,"Jan 11, 1994",New Zealand,Balanced,Australia
New Zealand,South Africa,South Africa,5 wickets,Perth,"Jan 14, 1994",New Zealand,Balanced,Australia
Australia,South Africa,South Africa,82 runs,Perth,"Jan 16, 1994",South Africa,Balanced,Australia
Australia,New Zealand,Australia,51 runs,Melbourne,"Jan 19, 1994",Australia,Balanced,Australia
Australia,South Africa,South Africa,28 runs,Melbourne,"Jan 21, 1994",South Africa,Balanced,Australia
Australia,South Africa,Australia,69 runs,Sydney,"Jan 23, 1994",Australia,Balanced,Australia
Australia,South Africa,Australia,35 runs,Sydney,"Jan 25, 1994",Australia,Balanced,Australia
India,Sri Lanka,India,8 runs,Rajkot,"Feb 15, 1994",India,Balanced,India
West Indies,England,England,61 runs,Bridgetown,"Feb 16, 1994",England,Balanced,Barbados
India,Sri Lanka,India,7 wickets,Hyderabad (Deccan),"Feb 18, 1994",Sri Lanka,Balanced,India
South Africa,Australia,South Africa,5 runs,Johannesburg,"Feb 19, 1994",South Africa,Batting,South Africa
India,Sri Lanka,Sri Lanka,4 wickets,Jalandhar,"Feb 20, 1994",India,Balanced,India
South Africa,Australia,South Africa,56 runs,Centurion,"Feb 20, 1994",South Africa,Batting,South Africa
South Africa,Australia,Australia,88 runs,Gqeberha,"Feb 22, 1994",Australia,Balanced,South Africa
South Africa,Australia,South Africa,7 wickets,Durban,"Feb 24, 1994",Australia,Batting,South Africa
West Indies,England,West Indies,3 wickets,Kingston,"Feb 26, 1994",England,Batting,Jamaica
West Indies,England,West Indies,165 runs,Kingstown,"Mar 2, 1994",West Indies,Balanced,Saint Vincent and the Grenadines
New Zealand,Pakistan,Pakistan,5 wickets,Dunedin,"Mar 3, 1994",New Zealand,Balanced,New Zealand
West Indies,England,West Indies,15 runs,Port of Spain,"Mar 5, 1994",West Indies,Batting,Trinidad and Tobago
New Zealand,Pakistan,Pakistan,36 runs,Auckland,"Mar 6, 1994",Pakistan,Batting,New Zealand
West Indies,England,England,5 wickets,Port of Spain,"Mar 6, 1994",West Indies,Batting,Trinidad and Tobago
New Zealand,Pakistan,Pakistan,11 runs,Wellington,"Mar 9, 1994",Pakistan,Balanced,New Zealand
New Zealand,Pakistan,0,-,Auckland,"Mar 13, 1994",Pakistan,Batting,New Zealand
New Zealand,Pakistan,New Zealand,7 wickets,Christchurch,"Mar 16, 1994",Pakistan,Balanced,New Zealand
New Zealand,India,New Zealand,28 runs,Napier,"Mar 25, 1994",New Zealand,Balanced,New Zealand
New Zealand,India,India,7 wickets,Auckland,"Mar 27, 1994",New Zealand,Batting,New Zealand
New Zealand,India,India,12 runs,Wellington,"Mar 30, 1994",India,Balanced,New Zealand
New Zealand,India,New Zealand,6 wickets,Christchurch,"Apr 2, 1994",India,Balanced,New Zealand
South Africa,Australia,Australia,7 wickets,East London,"Apr 2, 1994",South Africa,Balanced,South Africa
South Africa,Australia,South Africa,26 runs,Gqeberha,"Apr 4, 1994",South Africa,Balanced,South Africa
South Africa,Australia,Australia,36 runs,Cape Town,"Apr 6, 1994",Australia,Bowling,South Africa
South Africa,Australia,Australia,1 run,Bloemfontein,"Apr 8, 1994",South Africa,Batting,South Africa
U.A.E.,India,India,71 runs,Sharjah,"Apr 13, 1994",India,Batting,United Arab Emirates (UAE)
Australia,Sri Lanka,Australia,9 wickets,Sharjah,"Apr 14, 1994",Sri Lanka,Batting,United Arab Emirates (UAE)
India,Pakistan,Pakistan,6 wickets,Sharjah,"Apr 15, 1994",India,Batting,United Arab Emirates (UAE)
Australia,New Zealand,Australia,7 wickets,Sharjah,"Apr 16, 1994",New Zealand,Batting,United Arab Emirates (UAE)
U.A.E.,Pakistan,Pakistan,9 wickets,Sharjah,"Apr 17, 1994",U.A.E.,Batting,United Arab Emirates (UAE)
New Zealand,Sri Lanka,New Zealand,2 runs,Sharjah,"Apr 18, 1994",New Zealand,Batting,United Arab Emirates (UAE)
Australia,India,India,7 wickets,Sharjah,"Apr 19, 1994",Australia,Batting,United Arab Emirates (UAE)
New Zealand,Pakistan,Pakistan,62 runs,Sharjah,"Apr 20, 1994",Pakistan,Batting,United Arab Emirates (UAE)
India,Pakistan,Pakistan,39 runs,Sharjah,"Apr 22, 1994",Pakistan,Batting,United Arab Emirates (UAE)
England,New Zealand,England,42 runs,Birmingham,"May 19, 1994",England,Balanced,England (United Kingdom)
Sri Lanka,Pakistan,Pakistan,9 wickets,Colombo (RPS),"Aug 3, 1994",Sri Lanka,Batting,Sri Lanka
Sri Lanka,Pakistan,Sri Lanka,7 wickets,Colombo (RPS),"Aug 6, 1994",Pakistan,Batting,Sri Lanka
Sri Lanka,Pakistan,Pakistan,19 runs,Colombo (SSC),"Aug 7, 1994",Pakistan,Balanced,Sri Lanka
Sri Lanka,Pakistan,Pakistan,5 wickets,Colombo (SSC),"Aug 22, 1994",Sri Lanka,Balanced,Sri Lanka
Sri Lanka,Pakistan,Pakistan,27 runs,Colombo (RPS),"Aug 24, 1994",Pakistan,Batting,Sri Lanka
England,South Africa,England,6 wickets,Birmingham,"Aug 25, 1994",South Africa,Balanced,England (United Kingdom)
England,South Africa,England,4 wickets,Manchester,"Aug 27-28, 1994",South Africa,Bowling,England (United Kingdom)
Sri Lanka,India,0,-,Colombo (RPS),"Sep 4, 1994",India,Batting,Sri Lanka
Sri Lanka,India,Sri Lanka,7 wickets,Colombo (RPS),"Sep 5, 1994",India,Batting,Sri Lanka
Australia,Pakistan,Australia,28 runs,Colombo (SSC),"Sep 7, 1994",Australia,Balanced,Sri Lanka
Australia,India,India,31 runs,Colombo (RPS),"Sep 9, 1994",India,Batting,Sri Lanka
Sri Lanka,Pakistan,Sri Lanka,7 wickets,Colombo (SSC),"Sep 11, 1994",Pakistan,Balanced,Sri Lanka
Sri Lanka,Australia,Sri Lanka,6 wickets,Colombo (PSS),"Sep 13, 1994",Australia,Balanced,Sri Lanka
Sri Lanka,India,India,6 wickets,Colombo (SSC),"Sep 17, 1994",Sri Lanka,Balanced,Sri Lanka
Australia,South Africa,Australia,6 runs,Lahore,"Oct 12, 1994",Australia,Balanced,Pakistan
Pakistan,Australia,Australia,7 wickets,Multan,"Oct 14, 1994",Pakistan,Balanced,Pakistan
Pakistan,South Africa,Pakistan,8 wickets,Karachi,"Oct 16, 1994",South Africa,Batting,Pakistan
India,West Indies,West Indies,96 runs,Faridabad,"Oct 17, 1994",West Indies,Balanced,India
Australia,South Africa,Australia,22 runs,Faisalabad,"Oct 18, 1994",Australia,Balanced,Pakistan
India,West Indies,India,8 runs,Wankhede,"Oct 20, 1994",India,Balanced,India
Pakistan,South Africa,Pakistan,39 runs,Rawalpindi,"Oct 20, 1994",Pakistan,Balanced,Pakistan
Pakistan,Australia,Pakistan,9 wickets,Rawalpindi,"Oct 22, 1994",Australia,Balanced,Pakistan
India,West Indies,India,4 wickets,Chennai,"Oct 23, 1994",West Indies,Bowling,India
Australia,South Africa,Australia,3 wickets,Peshawar,"Oct 24, 1994",South Africa,Balanced,Pakistan
New Zealand,West Indies,0,-,Margao,"Oct 26, 1994",West Indies,Balanced,India
India,New Zealand,India,7 wickets,Vadodara,"Oct 28, 1994",New Zealand,Balanced,India
Pakistan,South Africa,Pakistan,6 wickets,Faisalabad,"Oct 28, 1994",South Africa,Balanced,Pakistan
India,West Indies,West Indies,46 runs,Kanpur,"Oct 30, 1994",West Indies,Balanced,India
Pakistan,Australia,Australia,64 runs,Lahore,"Oct 30, 1994",Australia,Balanced,Pakistan
New Zealand,West Indies,West Indies,135 runs,Guwahati,"Nov 1, 1994",West Indies,Bowling,India
India,New Zealand,India,107 runs,Delhi,"Nov 3, 1994",India,Batting,India
Zimbabwe,Sri Lanka,Sri Lanka,56 runs,Harare,"Nov 3, 1994",Sri Lanka,Balanced,Zimbabwe
Zimbabwe,Sri Lanka,Zimbabwe,2 runs,Harare,"Nov 5, 1994",Zimbabwe,Balanced,Zimbabwe
India,West Indies,India,72 runs,Eden Gardens,"Nov 5, 1994",India,Balanced,India
Zimbabwe,Sri Lanka,Sri Lanka,191 runs,Harare,"Nov 6, 1994",Sri Lanka,Balanced,Zimbabwe
India,West Indies,India,4 runs,Visakhapatnam,"Nov 7, 1994",India,Balanced,India
India,West Indies,India,8 wickets,Cuttack,"Nov 9, 1994",West Indies,Balanced,India
India,West Indies,India,5 runs,Jaipur,"Nov 11, 1994",India,Balanced,India
Australia,Zimbabwe,Australia,2 wickets,Perth,"Dec 2, 1994",Zimbabwe,Balanced,Australia
Pakistan,Sri Lanka,Pakistan,6 wickets,Durban,"Dec 2, 1994",Sri Lanka,Batting,South Africa
Pakistan,Sri Lanka,Pakistan,12 runs,Centurion,"Dec 4, 1994",Pakistan,Batting,South Africa
Australia,England,Australia,28 runs,Sydney,"Dec 6, 1994",Australia,Balanced,Australia
South Africa,New Zealand,South Africa,69 runs,Cape Town,"Dec 6, 1994",South Africa,Bowling,South Africa
Australia,Zimbabwe,Australia,84 runs,Hobart,"Dec 8, 1994",Australia,Balanced,Australia
New Zealand,Sri Lanka,0,-,Bloemfontein,"Dec 8, 1994",Sri Lanka,Batting,South Africa
South Africa,Pakistan,South Africa,7 wickets,Johannesburg,"Dec 10, 1994",Pakistan,Batting,South Africa
South Africa,New Zealand,South Africa,81 runs,Centurion,"Dec 11, 1994",South Africa,Batting,South Africa
New Zealand,Pakistan,Pakistan,5 wickets,Gqeberha,"Dec 13, 1994",New Zealand,Balanced,South Africa
England,Zimbabwe,Zimbabwe,13 runs,Sydney,"Dec 15, 1994",Zimbabwe,Balanced,Australia
South Africa,Sri Lanka,Sri Lanka,35 runs,Bloemfontein,"Dec 15, 1994",Sri Lanka,Batting,South Africa
South Africa,Pakistan,Pakistan,8 wickets,Durban,"Dec 17, 1994",South Africa,Batting,South Africa
New Zealand,Sri Lanka,Sri Lanka,5 wickets,East London,"Dec 18, 1994",New Zealand,Balanced,South Africa
New Zealand,Pakistan,Pakistan,5 wickets,East London,"Dec 19, 1994",New Zealand,Balanced,South Africa
South Africa,Sri Lanka,South Africa,44 runs,Gqeberha,"Dec 21, 1994",South Africa,Balanced,South Africa
England,Zimbabwe,England,26 runs,Brisbane,"Jan 7, 1995",England,Batting,Australia
Australia,England,England,37 runs,Melbourne,"Jan 10, 1995",England,Balanced,Australia
South Africa,Pakistan,South Africa,37 runs,Cape Town,"Jan 10, 1995",South Africa,Bowling,South Africa
South Africa,Pakistan,South Africa,157 runs,Johannesburg,"Jan 12, 1995",South Africa,Batting,South Africa
New Zealand,West Indies,West Indies,25 runs,Auckland,"Jan 22, 1995",West Indies,Batting,New Zealand
New Zealand,West Indies,West Indies,41 runs,Wellington,"Jan 25, 1995",West Indies,Balanced,New Zealand
New Zealand,West Indies,West Indies,9 wickets,Christchurch,"Jan 28, 1995",New Zealand,Balanced,New Zealand
Australia,South Africa,Australia,3 wickets,Wellington,"Feb 15, 1995",South Africa,Balanced,New Zealand
New Zealand,India,New Zealand,4 wickets,Napier,"Feb 16, 1995",India,Balanced,New Zealand
India,South Africa,South Africa,14 runs,Hamilton,"Feb 18, 1995",South Africa,Balanced,New Zealand
New Zealand,Australia,Australia,27 runs,Auckland,"Feb 19, 1995",Australia,Batting,New Zealand
Australia,India,India,5 wickets,Dunedin,"Feb 22, 1995",Australia,Balanced,New Zealand
Zimbabwe,Pakistan,0,-,Harare,"Feb 22, 1995",Pakistan,Balanced,Zimbabwe
New Zealand,South Africa,New Zealand,46 runs,Christchurch,"Feb 23-24, 1995",New Zealand,Balanced,New Zealand
Zimbabwe,Pakistan,Pakistan,4 wickets,Harare,"Feb 25, 1995",Zimbabwe,Balanced,Zimbabwe
New Zealand,Australia,Australia,6 wickets,Auckland,"Feb 26, 1995",New Zealand,Batting,New Zealand
Zimbabwe,Pakistan,Zimbabwe,74 runs,Harare,"Feb 26, 1995",Zimbabwe,Balanced,Zimbabwe
West Indies,Australia,West Indies,6 runs,Bridgetown,"Mar 8, 1995",West Indies,Balanced,Barbados
West Indies,Australia,Australia,26 runs,Port of Spain,"Mar 11, 1995",Australia,Batting,Trinidad and Tobago
West Indies,Australia,West Indies,133 runs,Port of Spain,"Mar 12, 1995",West Indies,Batting,Trinidad and Tobago
West Indies,Australia,West Indies,7 wickets,Kingstown,"Mar 15, 1995",Australia,Balanced,Saint Vincent and the Grenadines
West Indies,Australia,West Indies,5 wickets,Georgetown,"Mar 18, 1995",Australia,Balanced,Guyana
New Zealand,Sri Lanka,New Zealand,33 runs,Christchurch,"Mar 26, 1995",New Zealand,Balanced,New Zealand
New Zealand,Sri Lanka,New Zealand,57 runs,Hamilton,"Mar 29, 1995",New Zealand,Balanced,New Zealand
New Zealand,Sri Lanka,Sri Lanka,51 runs,Auckland,"Apr 1, 1995",Sri Lanka,Batting,New Zealand
Bangladesh,India,India,9 wickets,Sharjah,"Apr 5, 1995",Bangladesh,Batting,United Arab Emirates (UAE)
Bangladesh,Sri Lanka,Sri Lanka,107 runs,Sharjah,"Apr 6, 1995",Sri Lanka,Batting,United Arab Emirates (UAE)
India,Pakistan,Pakistan,97 runs,Sharjah,"Apr 7, 1995",Pakistan,Batting,United Arab Emirates (UAE)
Bangladesh,Pakistan,Pakistan,6 wickets,Sharjah,"Apr 8, 1995",Bangladesh,Batting,United Arab Emirates (UAE)
India,Sri Lanka,India,8 wickets,Sharjah,"Apr 9, 1995",Sri Lanka,Batting,United Arab Emirates (UAE)
Pakistan,Sri Lanka,Sri Lanka,5 wickets,Sharjah,"Apr 11, 1995",Pakistan,Batting,United Arab Emirates (UAE)
India,Sri Lanka,India,8 wickets,Sharjah,"Apr 14, 1995",Sri Lanka,Batting,United Arab Emirates (UAE)
England,West Indies,West Indies,5 wickets,Nottingham,"May 24-25, 1995",England,Balanced,England (United Kingdom)
England,West Indies,England,25 runs,The Oval,"May 26, 1995",England,Balanced,England (United Kingdom)
England,West Indies,England,73 runs,Lord's,"May 28, 1995",England,Balanced,England (United Kingdom)
Pakistan,Sri Lanka,Pakistan,9 wickets,Gujranwala,"Sep 29, 1995",Sri Lanka,Balanced,Pakistan
Pakistan,Sri Lanka,Sri Lanka,49 runs,Faisalabad,"Oct 1, 1995",Sri Lanka,Balanced,Pakistan
Pakistan,Sri Lanka,Sri Lanka,4 wickets,Rawalpindi,"Oct 3, 1995",Pakistan,Balanced,Pakistan
Sri Lanka,West Indies,Sri Lanka,6 runs,Sharjah,"Oct 11, 1995",Sri Lanka,Batting,United Arab Emirates (UAE)
Pakistan,Sri Lanka,Pakistan,82 runs,Sharjah,"Oct 12, 1995",Pakistan,Batting,United Arab Emirates (UAE)
Pakistan,West Indies,Pakistan,15 runs,Sharjah,"Oct 13, 1995",Pakistan,Batting,United Arab Emirates (UAE)
Pakistan,West Indies,West Indies,4 wickets,Sharjah,"Oct 15, 1995",Pakistan,Batting,United Arab Emirates (UAE)
Sri Lanka,West Indies,West Indies,4 runs,Sharjah,"Oct 16, 1995",West Indies,Batting,United Arab Emirates (UAE)
Pakistan,Sri Lanka,Sri Lanka,8 wickets,Sharjah,"Oct 17, 1995",Pakistan,Batting,United Arab Emirates (UAE)
Sri Lanka,West Indies,Sri Lanka,50 runs,Sharjah,"Oct 20, 1995",Sri Lanka,Batting,United Arab Emirates (UAE)
Zimbabwe,South Africa,South Africa,134 runs,Harare,"Oct 21, 1995",South Africa,Balanced,Zimbabwe
Zimbabwe,South Africa,South Africa,112 runs,Harare,"Oct 22, 1995",South Africa,Balanced,Zimbabwe
India,New Zealand,New Zealand,8 wickets,Jamshedpur,"Nov 15, 1995",India,Balanced,India
India,New Zealand,India,6 wickets,Amritsar,"Nov 18, 1995",New Zealand,Balanced,India
India,New Zealand,India,5 wickets,Pune,"Nov 24, 1995",New Zealand,Balanced,India
India,New Zealand,New Zealand,99 runs,Nagpur,"Nov 26, 1995",New Zealand,Balanced,India
India,New Zealand,India,6 wickets,Brabourne,"Nov 29, 1995",New Zealand,Balanced,India
New Zealand,Pakistan,Pakistan,20 runs,Dunedin,"Dec 15, 1995",Pakistan,Balanced,New Zealand
Sri Lanka,West Indies,Sri Lanka,4 wickets,Adelaide,"Dec 15, 1995",West Indies,Balanced,Australia
New Zealand,Pakistan,New Zealand,1 wicket,Christchurch,"Dec 17, 1995",Pakistan,Balanced,New Zealand
Australia,West Indies,Australia,121 runs,Adelaide,"Dec 17, 1995",Australia,Balanced,Australia
Australia,West Indies,Australia,24 runs,Melbourne,"Dec 19, 1995",Australia,Balanced,Australia
New Zealand,Pakistan,Pakistan,54 runs,Wellington,"Dec 20, 1995",Pakistan,Balanced,New Zealand
Australia,Sri Lanka,Australia,5 wickets,Sydney,"Dec 21, 1995",Sri Lanka,Balanced,Australia
New Zealand,Pakistan,New Zealand,32 runs,Auckland,"Dec 23, 1995",New Zealand,Batting,New Zealand
Australia,West Indies,Australia,1 wicket,Sydney,"Jan 1, 1996",West Indies,Balanced,Australia
Sri Lanka,West Indies,West Indies,70 runs,Hobart,"Jan 3, 1996",West Indies,Balanced,Australia
Sri Lanka,West Indies,West Indies,7 wickets,Brisbane,"Jan 5, 1996",Sri Lanka,Batting,Australia
Australia,West Indies,West Indies,14 runs,Brisbane,"Jan 7, 1996",West Indies,Batting,Australia
Australia,Sri Lanka,Sri Lanka,3 wickets,Melbourne,"Jan 9, 1996",Australia,Balanced,Australia
South Africa,England,South Africa,6 runs,Cape Town,"Jan 9, 1996",South Africa,Bowling,South Africa
South Africa,England,England,5 wickets,Bloemfontein,"Jan 11, 1996",South Africa,Batting,South Africa
Australia,Sri Lanka,Australia,83 runs,Perth,"Jan 12, 1996",Australia,Balanced,Australia
South Africa,England,South Africa,3 wickets,Johannesburg,"Jan 13, 1996",England,Batting,South Africa
Sri Lanka,West Indies,Sri Lanka,16 runs,Perth,"Jan 14, 1996",Sri Lanka,Balanced,Australia
South Africa,England,South Africa,7 wickets,Centurion,"Jan 14, 1996",England,Batting,South Africa
Australia,Sri Lanka,Sri Lanka,3 wickets,Melbourne,"Jan 16, 1996",Australia,Balanced,Australia
South Africa,England,South Africa,5 wickets,Durban,"Jan 17, 1996",England,Batting,South Africa
Australia,Sri Lanka,Australia,18 runs,Melbourne,"Jan 18, 1996",Australia,Balanced,Australia
South Africa,England,South Africa,14 runs,East London,"Jan 19, 1996",South Africa,Balanced,South Africa
Australia,Sri Lanka,Australia,9 runs,Sydney,"Jan 20, 1996",Australia,Balanced,Australia
South Africa,England,South Africa,64 runs,Gqeberha,"Jan 21, 1996",South Africa,Balanced,South Africa
New Zealand,Zimbabwe,New Zealand,74 runs,Auckland,"Jan 28, 1996",New Zealand,Batting,New Zealand
New Zealand,Zimbabwe,New Zealand,6 wickets,Wellington,"Jan 31, 1996",Zimbabwe,Balanced,New Zealand
New Zealand,Zimbabwe,Zimbabwe,21 runs,Napier,"Feb 3, 1996",Zimbabwe,Balanced,New Zealand
England,New Zealand,New Zealand,11 runs,Ahmedabad,"Feb 14, 1996",New Zealand,Balanced,India
South Africa,U.A.E.,South Africa,169 runs,Rawalpindi,"Feb 16, 1996",South Africa,Balanced,Pakistan
West Indies,Zimbabwe,West Indies,6 wickets,Hyderabad (Deccan),"Feb 16, 1996",Zimbabwe,Balanced,India
Netherlands,New Zealand,New Zealand,119 runs,Vadodara,"Feb 17, 1996",New Zealand,Balanced,India
India,Kenya,India,7 wickets,Cuttack,"Feb 18, 1996",Kenya,Balanced,India
England,U.A.E.,England,8 wickets,Peshawar,"Feb 18, 1996",U.A.E.,Balanced,Pakistan
New Zealand,South Africa,South Africa,5 wickets,Faisalabad,"Feb 20, 1996",New Zealand,Balanced,Pakistan
Sri Lanka,Zimbabwe,Sri Lanka,6 wickets,Colombo (SSC),"Feb 21, 1996",Zimbabwe,Balanced,Sri Lanka
India,West Indies,India,5 wickets,Gwalior,"Feb 21, 1996",West Indies,Balanced,India
England,Netherlands,England,49 runs,Peshawar,"Feb 22, 1996",England,Balanced,Pakistan
Australia,Kenya,Australia,97 runs,Visakhapatnam,"Feb 23, 1996",Australia,Balanced,India
Pakistan,U.A.E.,Pakistan,9 wickets,Gujranwala,"Feb 24, 1996",U.A.E.,Balanced,Pakistan
England,South Africa,South Africa,78 runs,Rawalpindi,"Feb 25, 1996",South Africa,Balanced,Pakistan
Kenya,Zimbabwe,0,-,Patna,"Feb 26, 1996",Zimbabwe,Balanced,India
Pakistan,Netherlands,Pakistan,8 wickets,Lahore,"Feb 26, 1996",Netherlands,Balanced,Pakistan
Kenya,Zimbabwe,Zimbabwe,5 wickets,Patna,"Feb 27, 1996",Kenya,Balanced,India
New Zealand,U.A.E.,New Zealand,109 runs,Faisalabad,"Feb 27, 1996",New Zealand,Balanced,Pakistan
India,Australia,Australia,16 runs,Wankhede,"Feb 27, 1996",Australia,Balanced,India
Kenya,West Indies,Kenya,73 runs,Pune,"Feb 29, 1996",Kenya,Balanced,India
Pakistan,South Africa,South Africa,5 wickets,Karachi,"Feb 29, 1996",Pakistan,Batting,Pakistan
Australia,Zimbabwe,Australia,8 wickets,Nagpur,"Mar 1, 1996",Zimbabwe,Balanced,India
Netherlands,U.A.E.,U.A.E.,7 wickets,Lahore,"Mar 1, 1996",Netherlands,Balanced,Pakistan
India,Sri Lanka,Sri Lanka,6 wickets,Delhi,"Mar 2, 1996",India,Batting,India
Pakistan,England,Pakistan,7 wickets,Karachi,"Mar 3, 1996",England,Batting,Pakistan
Australia,West Indies,West Indies,4 wickets,Jaipur,"Mar 4, 1996",Australia,Balanced,India
Netherlands,South Africa,South Africa,160 runs,Rawalpindi,"Mar 5, 1996",South Africa,Balanced,Pakistan
India,Zimbabwe,India,40 runs,Kanpur,"Mar 6, 1996",India,Balanced,India
Sri Lanka,Kenya,Sri Lanka,144 runs,Kandy,"Mar 6, 1996",Sri Lanka,Balanced,Sri Lanka
Pakistan,New Zealand,Pakistan,46 runs,Lahore,"Mar 6, 1996",Pakistan,Balanced,Pakistan
England,Sri Lanka,Sri Lanka,5 wickets,Faisalabad,"Mar 9, 1996",England,Balanced,Pakistan
India,Pakistan,India,39 runs,Bengaluru,"Mar 9, 1996",India,Balanced,India
South Africa,West Indies,West Indies,19 runs,Karachi,"Mar 11, 1996",West Indies,Batting,Pakistan
Australia,New Zealand,Australia,6 wickets,Chennai,"Mar 11, 1996",New Zealand,Bowling,India
India,Sri Lanka,Sri Lanka,-,Eden Gardens,"Mar 13, 1996",India,Balanced,India
Australia,West Indies,Australia,5 runs,Mohali,"Mar 14, 1996",Australia,Batting,India
Australia,Sri Lanka,Sri Lanka,7 wickets,Lahore,"Mar 17, 1996",Australia,Balanced,Pakistan
West Indies,New Zealand,West Indies,1 wicket,Kingston,"Mar 26, 1996",New Zealand,Batting,Jamaica
West Indies,New Zealand,New Zealand,4 wickets,Port of Spain,"Mar 29, 1996",West Indies,Batting,Trinidad and Tobago
West Indies,New Zealand,West Indies,7 wickets,Port of Spain,"Mar 30, 1996",New Zealand,Batting,Trinidad and Tobago
Pakistan,Sri Lanka,0,-,Singapore,"Apr 1, 1996",Sri Lanka,Balanced,Singapore
Pakistan,Sri Lanka,Sri Lanka,34 runs,Singapore,"Apr 2, 1996",Sri Lanka,Balanced,Singapore
India,Sri Lanka,India,12 runs,Singapore,"Apr 3, 1996",India,Balanced,Singapore
West Indies,New Zealand,New Zealand,4 runs,Georgetown,"Apr 3, 1996",New Zealand,Balanced,Guyana
India,Pakistan,Pakistan,8 wickets,Singapore,"Apr 5, 1996",India,Balanced,Singapore
West Indies,New Zealand,West Indies,7 wickets,Kingstown,"Apr 6, 1996",New Zealand,Balanced,Saint Vincent and the Grenadines
Pakistan,Sri Lanka,Pakistan,43 runs,Singapore,"Apr 7, 1996",Pakistan,Balanced,Singapore
India,Pakistan,Pakistan,38 runs,Sharjah,"Apr 12, 1996",Pakistan,Batting,United Arab Emirates (UAE)
Pakistan,South Africa,South Africa,143 runs,Sharjah,"Apr 13, 1996",South Africa,Batting,United Arab Emirates (UAE)
West Indies,Sri Lanka,Sri Lanka,35 runs,Port of Spain,"Apr 13, 1996",Sri Lanka,Batting,Trinidad and Tobago
India,South Africa,South Africa,80 runs,Sharjah,"Apr 14, 1996",South Africa,Batting,United Arab Emirates (UAE)
India,Pakistan,India,28 runs,Sharjah,"Apr 15, 1996",India,Batting,United Arab Emirates (UAE)
Pakistan,South Africa,South Africa,8 wickets,Sharjah,"Apr 16, 1996",Pakistan,Batting,United Arab Emirates (UAE)
India,South Africa,South Africa,5 wickets,Sharjah,"Apr 17, 1996",India,Batting,United Arab Emirates (UAE)
India,South Africa,South Africa,38 runs,Sharjah,"Apr 19, 1996",South Africa,Batting,United Arab Emirates (UAE)
England,India,0,-,The Oval,"May 23-24, 1996",India,Balanced,England (United Kingdom)
England,India,England,6 wickets,Leeds,"May 25, 1996",India,Balanced,England (United Kingdom)
