Team 1,Team 2,Winner,Margin,Ground,Match Date,match_id,Bat first,Pitch Advantage ,Home Advantage
South Africa,Sri Lanka,Sri Lanka,5 runs,Chattogram,"Mar 22, 2014",T20I # 379,Sri Lanka,Batting,Bangladesh
England,New Zealand,New Zealand,9 runs,Chattogram,"Mar 22, 2014",T20I # 380,New Zealand,Batting,Bangladesh
Australia,Pakistan,Pakistan,16 runs,Mirpur,"Mar 23, 2014",T20I # 381,Pakistan,Batting,Bangladesh
India,West Indies,India,7 wickets,Mirpur,"Mar 23, 2014",T20I # 382,West Indies,Batting,Bangladesh
New Zealand,South Africa,South Africa,2 runs,Chattogram,"Mar 24, 2014",T20I # 383,South Africa,Batting,Bangladesh
Netherlands,Sri Lanka,Sri Lanka,9 wickets,Chattogram,"Mar 24, 2014",T20I # 384,Netherlands,Batting,Bangladesh
Bangladesh,West Indies,West Indies,73 runs,Mirpur,"Mar 25, 2014",T20I # 385,West Indies,Batting,Bangladesh
Netherlands,South Africa,South Africa,6 runs,Chattogram,"Mar 27, 2014",T20I # 386,South Africa,Batting,Bangladesh
England,Sri Lanka,England,6 wickets,Chattogram,"Mar 27, 2014",T20I # 387,Sri Lanka,Batting,Bangladesh
Australia,West Indies,West Indies,6 wickets,Mirpur,"Mar 28, 2014",T20I # 388,Australia,Batting,Bangladesh
Bangladesh,India,India,8 wickets,Mirpur,"Mar 28, 2014",T20I # 389,Bangladesh,Batting,Bangladesh
Netherlands,New Zealand,New Zealand,6 wickets,Chattogram,"Mar 29, 2014",T20I # 390,Netherlands,Batting,Bangladesh
England,South Africa,South Africa,3 runs,Chattogram,"Mar 29, 2014",T20I # 391,South Africa,Batting,Bangladesh
Bangladesh,Pakistan,Pakistan,50 runs,Mirpur,"Mar 30, 2014",T20I # 392,Pakistan,Batting,Bangladesh
Australia,India,India,73 runs,Mirpur,"Mar 30, 2014",T20I # 393,India,Batting,Bangladesh
England,Netherlands,Netherlands,45 runs,Chattogram,"Mar 31, 2014",T20I # 394,Netherlands,Batting,Bangladesh
New Zealand,Sri Lanka,Sri Lanka,59 runs,Chattogram,"Mar 31, 2014",T20I # 395,Sri Lanka,Batting,Bangladesh
Bangladesh,Australia,Australia,7 wickets,Mirpur,"Apr 1, 2014",T20I # 396,Bangladesh,Batting,Bangladesh
Pakistan,West Indies,West Indies,84 runs,Mirpur,"Apr 1, 2014",T20I # 397,West Indies,Batting,Bangladesh
Sri Lanka,West Indies,Sri Lanka,27 runs,Mirpur,"Apr 3, 2014",T20I # 398,Sri Lanka,Batting,Bangladesh
India,South Africa,India,6 wickets,Mirpur,"Apr 4, 2014",T20I # 399,South Africa,Batting,Bangladesh
India,Sri Lanka,Sri Lanka,6 wickets,Mirpur,"Apr 6, 2014",T20I # 400,India,Batting,Bangladesh
England,Sri Lanka,Sri Lanka,9 runs,The Oval,"May 20, 2014",T20I # 401,Sri Lanka,Balanced,England (United Kingdom)
West Indies,New Zealand,New Zealand,12 runs,Roseau,"Jul 5, 2014",T20I # 402,New Zealand,Balanced,Dominica
West Indies,New Zealand,West Indies,39 runs,Roseau,"Jul 6, 2014",T20I # 403,West Indies,Balanced,Dominica
West Indies,Bangladesh,0,-,Basseterre,"Aug 27, 2014",T20I # 404,West Indies,Batting,Saint Kitts and Nevis
England,India,England,3 runs,Birmingham,"Sep 7, 2014",T20I # 405,England,Balanced,England (United Kingdom)
Australia,Pakistan,Australia,6 wickets,Dubai (DSC),"Oct 5, 2014",T20I # 406,Pakistan,Balanced,United Arab Emirates (UAE)
Australia,South Africa,South Africa,7 wickets,Adelaide,"Nov 5, 2014",T20I # 407,Australia,Balanced,Australia
Australia,South Africa,Australia,7 wickets,Melbourne,"Nov 7, 2014",T20I # 408,South Africa,Balanced,Australia
Australia,South Africa,Australia,2 wickets,Sydney,"Nov 9, 2014",T20I # 409,South Africa,Balanced,Australia
Hong Kong,Nepal,Hong Kong,2 wickets,Colombo (PSS),"Nov 24, 2014",T20I # 410,Nepal,Balanced,Sri Lanka
New Zealand,Pakistan,Pakistan,7 wickets,Dubai (DSC),"Dec 4, 2014",T20I # 411,New Zealand,Balanced,United Arab Emirates (UAE)
New Zealand,Pakistan,New Zealand,17 runs,Dubai (DSC),"Dec 5, 2014",T20I # 412,New Zealand,Balanced,United Arab Emirates (UAE)
South Africa,West Indies,West Indies,4 wickets,Cape Town,"Jan 9, 2015",T20I # 413,South Africa,Bowling,South Africa
